holiday,weekend,mon,tue,wed,thur,fri,sat,sun,temperature,rain,humidity,dayoff,sandwich,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,spring,summer,fall,winter,event
0,0,0,0,0,1,0,0,0,0.5953488372093023,0.0,0.08082191780821918,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,0,0,1,0,0,0.6069767441860465,0.0,0.0904109589041096,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
1,1,0,0,0,0,0,1,0,0.655813953488372,0.0,0.08904109589041098,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
1,1,0,0,0,0,0,0,1,0.6581395348837209,0.0,0.032876712328767155,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,1,0,0,0,0,0,0,0.655813953488372,0.0,0.019178082191780854,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,1,0,0,0,0,0,0.6186046511627907,0.034265103697024346,0.363013698630137,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,1,0,0,0,0,0.5465116279069767,0.08340847610459874,0.9123287671232876,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,0,1,0,0,0,0.46744186046511627,0.018935978358881875,0.8780821917808219,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,0,0,1,0,0,0.47441860465116276,0.0013525698827772767,0.4876712328767123,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
1,1,0,0,0,0,0,1,0,0.4651162790697674,0.0,0.273972602739726,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
1,1,0,0,0,0,0,0,1,0.5,0.0,0.30958904109589036,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,1,0,0,0,0,0,0,0.5581395348837209,0.0,0.28356164383561644,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
