holiday,weekend,temperature,humidity,target,rain,mon,tue,wed,thur,fri,sat,sun
0,1,20.9,93.1,317,1,False,False,True,False,False,False,False
0,1,18.4,89.3,1009,1,False,False,False,True,False,False,False
0,1,18.6,79.8,2302,0,False,False,False,False,True,False,False
0,1,19.5,72.9,9723,0,False,False,False,False,False,True,False
0,1,21.1,58.4,6996,0,False,False,False,False,False,False,True
0,1,21.4,74.0,1089,1,True,False,False,False,False,False,False
0,1,20.4,94.0,260,1,False,True,False,False,False,False,False
0,1,21.5,89.0,478,1,False,False,True,False,False,False,False
1,1,22.2,74.5,5877,0,False,False,False,True,False,False,False
1,1,20.2,74.3,8644,0,False,False,False,False,True,False,False
1,1,18.6,77.3,12866,1,False,False,False,False,False,True,False
0,1,17.8,60.9,14691,0,False,False,False,False,False,False,True
1,1,16.7,65.5,17317,0,True,False,False,False,False,False,False
1,1,15.2,79.5,6763,0,False,True,False,False,False,False,False
0,1,17.8,71.4,1384,0,False,False,True,False,False,False,False
0,1,14.5,42.6,2406,0,False,False,False,True,False,False,False
0,1,15.0,57.0,3483,0,False,False,False,False,True,False,False
0,1,15.7,70.9,7624,0,False,False,False,False,False,True,False
0,1,17.2,64.8,10691,0,False,False,False,False,False,False,True
1,1,17.3,70.0,6819,0,True,False,False,False,False,False,False
0,1,16.5,72.3,1539,0,False,True,False,False,False,False,False
0,1,16.6,65.4,1701,0,False,False,True,False,False,False,False
0,1,16.1,64.9,2917,0,False,False,False,True,False,False,False
0,1,16.4,69.9,5600,0,False,False,False,False,True,False,False
0,1,15.3,75.5,6553,0,False,False,False,False,False,True,False
0,1,15.1,75.6,6515,0,False,False,False,False,False,False,True
0,1,14.7,64.5,1478,0,True,False,False,False,False,False,False
0,1,13.3,63.8,1893,0,False,True,False,False,False,False,False
0,1,14.8,65.6,3536,0,False,False,True,False,False,False,False
0,1,15.2,85.9,1909,1,False,False,False,True,False,False,False
0,1,11.8,60.5,4853,1,False,False,False,False,True,False,False
0,1,10.6,59.8,8687,0,False,False,False,False,False,True,False
0,1,11.8,68.5,5895,0,False,False,False,False,False,False,True
0,1,13.7,75.5,1625,0,True,False,False,False,False,False,False
0,1,14.0,77.1,1478,0,False,True,False,False,False,False,False
0,1,15.7,74.9,2365,0,False,False,True,False,False,False,False
0,1,16.6,77.5,2498,0,False,False,False,True,False,False,False
0,1,14.3,71.1,4392,0,False,False,False,False,True,False,False
0,1,13.3,74.1,9691,0,False,False,False,False,False,True,False
0,1,13.3,70.8,7149,0,False,False,False,False,False,False,True
0,1,14.1,72.1,1685,0,True,False,False,False,False,False,False
0,1,14.8,67.6,1887,0,False,True,False,False,False,False,False
0,1,18.1,68.8,1568,0,False,False,True,False,False,False,False
0,1,19.6,59.1,2381,0,False,False,False,True,False,False,False
0,1,19.3,69.4,2737,0,False,False,False,False,True,False,False
0,1,18.8,81.0,4212,0,False,False,False,False,False,True,False
0,1,19.3,75.4,2313,1,False,False,False,False,False,False,True
0,1,15.5,64.9,447,1,True,False,False,False,False,False,False
0,1,8.3,55.1,910,0,False,True,False,False,False,False,False
0,1,8.4,60.4,614,0,False,False,True,False,False,False,False
0,1,11.5,73.8,1248,1,False,False,False,True,False,False,False
0,1,5.7,49.8,2069,1,False,False,False,False,True,False,False
0,1,1.7,54.4,3883,0,False,False,False,False,False,True,False
0,1,1.7,61.5,2486,0,False,False,False,False,False,False,True
0,1,2.4,58.3,374,0,True,False,False,False,False,False,False
0,1,5.5,67.0,717,0,False,True,False,False,False,False,False
0,1,7.0,68.5,980,0,False,False,True,False,False,False,False
0,1,5.3,88.1,965,1,False,False,False,True,False,False,False
0,1,2.5,71.8,337,1,False,False,False,False,True,False,False
0,1,1.6,67.6,2166,1,False,False,False,False,False,True,False
0,1,7.8,67.6,2756,0,False,False,False,False,False,False,True
0,1,6.0,58.4,756,0,True,False,False,False,False,False,False
0,1,6.2,58.4,820,0,False,True,False,False,False,False,False
0,1,7.9,72.6,819,0,False,False,True,False,False,False,False
0,1,12.8,59.0,716,0,False,False,False,True,False,False,False
0,1,1.2,47.3,652,0,False,False,False,False,True,False,False
0,1,-1.2,38.0,1681,0,False,False,False,False,False,True,False
0,1,4.2,49.9,1592,1,False,False,False,False,False,False,True
0,1,7.0,82.1,133,1,True,False,False,False,False,False,False
0,1,3.4,59.4,172,0,False,True,False,False,False,False,False
0,1,2.4,66.8,212,0,False,False,True,False,False,False,False
0,1,-2.1,49.8,244,0,False,False,False,True,False,False,False
0,1,-1.7,58.8,426,0,False,False,False,False,True,False,False
0,1,2.8,61.4,1425,0,False,False,False,False,False,True,False
0,1,2.7,49.4,1454,0,False,False,False,False,False,False,True
0,1,2.3,60.4,258,0,True,False,False,False,False,False,False
0,1,3.6,65.6,326,0,False,True,False,False,False,False,False
0,1,6.0,73.6,248,1,False,False,True,False,False,False,False
0,1,6.3,55.6,232,0,False,False,False,True,False,False,False
0,1,10.6,62.5,591,0,False,False,False,False,True,False,False
0,1,13.3,71.0,6177,0,False,False,False,False,False,True,False
0,1,13.9,71.4,4753,0,False,False,False,False,False,False,True
0,1,11.9,82.6,25,1,True,False,False,False,False,False,False
0,1,7.6,75.6,302,1,False,True,False,False,False,False,False
0,1,9.5,66.5,338,0,False,False,True,False,False,False,False
0,1,9.6,79.0,203,1,False,False,False,True,False,False,False
0,1,8.9,93.4,21,1,False,False,False,False,True,False,False
0,1,-1.8,75.8,387,1,False,False,False,False,False,True,False
0,1,-8.5,61.5,125,0,False,False,False,False,False,False,True
0,1,-5.6,53.9,100,0,True,False,False,False,False,False,False
0,1,-2.5,59.8,68,0,False,True,False,False,False,False,False
0,1,-5.5,70.5,497,1,False,False,True,False,False,False,False
0,1,-9.7,64.8,38,0,False,False,False,True,False,False,False
0,1,-9.5,57.5,146,0,False,False,False,False,True,False,False
0,1,-5.6,57.1,647,0,False,False,False,False,False,True,False
0,1,-1.5,75.3,1632,1,False,False,False,False,False,False,True
1,1,-0.4,79.6,1605,0,True,False,False,False,False,False,False
0,1,2.2,72.3,404,0,False,True,False,False,False,False,False
0,1,2.6,73.6,594,0,False,False,True,False,False,False,False
0,1,1.2,78.3,663,0,False,False,False,True,False,False,False
0,1,1.9,74.6,776,0,False,False,False,False,True,False,False
0,1,0.8,89.3,685,1,False,False,False,False,False,True,False
0,1,3.8,85.0,984,1,False,False,False,False,False,False,True
1,1,3.8,75.3,2418,0,True,False,False,False,False,False,False
0,1,4.0,72.3,548,0,False,True,False,False,False,False,False
0,1,1.9,75.3,393,1,False,False,True,False,False,False,False
0,1,1.0,73.3,506,0,False,False,False,True,False,False,False
0,1,5.6,74.1,647,0,False,False,False,False,True,False,False
0,1,1.4,66.0,2238,1,False,False,False,False,False,True,False
0,1,-2.2,52.4,926,0,False,False,False,False,False,False,True
0,1,-3.8,51.0,282,0,True,False,False,False,False,False,False
0,1,0.8,69.5,143,1,False,True,False,False,False,False,False
0,1,-1.3,85.1,173,1,False,False,True,False,False,False,False
0,1,0.6,77.0,326,0,False,False,False,True,False,False,False
0,1,2.9,56.8,419,0,False,False,False,False,True,False,False
0,1,0.4,53.5,2175,0,False,False,False,False,False,True,False
0,1,1.2,77.4,1594,1,False,False,False,False,False,False,True
0,1,-2.1,50.4,324,0,True,False,False,False,False,False,False
0,1,-1.9,53.3,330,0,False,True,False,False,False,False,False
0,1,0.8,81.1,125,1,False,False,True,False,False,False,False
0,1,4.3,90.0,151,1,False,False,False,True,False,False,False
0,1,5.9,66.6,568,0,False,False,False,False,True,False,False
0,1,4.4,80.5,199,1,False,False,False,False,False,True,False
0,1,2.7,82.3,1414,1,False,False,False,False,False,False,True
0,1,-5.4,62.6,149,0,True,False,False,False,False,False,False
0,1,-9.2,65.3,36,1,False,True,False,False,False,False,False
0,1,-6.9,62.8,92,0,False,False,True,False,False,False,False
0,1,-4.3,51.4,176,0,False,False,False,True,False,False,False
0,1,-1.9,66.3,416,0,False,False,False,False,True,False,False
0,1,0.1,61.8,2058,0,False,False,False,False,False,True,False
0,1,-0.3,64.0,1982,0,False,False,False,False,False,False,True
0,1,-1.0,63.4,526,0,True,False,False,False,False,False,False
0,1,1.3,54.6,431,0,False,True,False,False,False,False,False
0,1,5.9,46.3,412,0,False,False,True,False,False,False,False
0,1,4.0,62.4,282,0,False,False,False,True,False,False,False
0,1,4.1,60.5,457,0,False,False,False,False,True,False,False
0,1,4.6,71.0,1992,1,False,False,False,False,False,True,False
0,1,6.2,72.9,2898,1,False,False,False,False,False,False,True
0,1,4.1,83.3,16,1,True,False,False,False,False,False,False
0,1,1.7,87.4,103,1,False,True,False,False,False,False,False
0,1,0.3,63.8,229,0,False,False,True,False,False,False,False
0,1,0.6,66.4,391,0,False,False,False,True,False,False,False
1,1,1.2,61.6,1800,0,False,False,False,False,True,False,False
1,1,1.3,67.3,2370,0,False,False,False,False,False,True,False
1,1,0.8,64.9,2908,0,False,False,False,False,False,False,True
1,1,3.6,54.9,4536,0,True,False,False,False,False,False,False
0,1,8.4,59.5,1424,0,False,True,False,False,False,False,False
0,1,13.2,72.8,537,0,False,False,True,False,False,False,False
0,1,5.9,83.0,114,1,False,False,False,True,False,False,False
0,1,3.1,63.1,1013,0,False,False,False,False,True,False,False
0,1,5.5,62.3,6254,0,False,False,False,False,False,True,False
0,1,5.5,81.8,3586,1,False,False,False,False,False,False,True
0,1,9.8,94.5,122,1,True,False,False,False,False,False,False
0,1,5.3,89.4,89,1,False,True,False,False,False,False,False
0,1,4.0,87.5,23,1,False,False,True,False,False,False,False
0,1,2.1,80.1,93,1,False,False,False,True,False,False,False
0,1,3.0,66.8,1036,0,False,False,False,False,True,False,False
0,1,2.9,65.3,2854,1,False,False,False,False,False,True,False
0,1,2.3,86.8,1308,1,False,False,False,False,False,False,True
0,1,3.7,68.0,1723,0,True,False,False,False,False,False,False
0,1,5.3,48.4,2308,0,False,True,False,False,False,False,False
