content,sdate,edate,place
판암역 일대 아웃리치 홍보 캠페인 ,2024-09-10,2024-09-10,101
유성구종합사회복지관 지역사회 욕구조사,2024-09-12,2024-09-12,116
유성구종합사회복지관 지역사회 욕구조사,2024-09-19,2024-09-19,116
세계 자살예방의 날 기념 캠페인,2024-09-20,2024-09-20,101
2024년 치매극복 주간행사,2024-09-23,2024-09-27,122
전통시장 대학생 사진공모전 수상작 전시,2024-09-23,2024-09-30,106
제4회 장애인 사진전시회,2024-09-23,2024-09-27,101
세계 자살예방의 날 기념 캠페인,2024-09-24,2024-09-24,103
자원봉사활동 그림전,2024-09-25,2024-10-07,114
세계 자살예방의 날 기념 캠페인,2024-09-25,2024-09-25,102
대장암 검진 수검독려 캠페인,2024-10-02,2024-10-02,116
월간사진회 작품 전시회,2024-10-02,2024-10-08,104
대전통기타 이야기 버스킹,2024-10-05,2024-10-05,111
역사 내 칭찬감사캠페인,2024-10-07,2024-10-07,112
역사 내 칭찬감사캠페인,2024-10-07,2024-10-07,111
자원봉사활동 그림전,2024-10-07,2024-10-21,108
(식품의약품안전처) 소비기한제도 안내 캠페인,2024-10-08,2024-10-08,111
역사 내 칭찬감사캠페인,2024-10-14,2024-10-14,114
역사 내 칭찬감사캠페인,2024-10-14,2024-10-14,113
한밭사우회 사진전,2024-10-15,2024-10-22,104
판암역 일대 아웃리치 홍보 캠페인 ,2024-10-16,2024-10-16,101
(녹색나무 주관) 압록강 뗏목꾼의 노래 전시전,2024-10-17,2024-10-19,121
역사 내 칭찬감사캠페인,2024-10-21,2024-10-21,116
역사 내 칭찬감사캠페인,2024-10-21,2024-10-21,117
자원봉사활동 그림전,2024-10-21,2024-11-04,110
역사 내 칭찬감사캠페인,2024-10-28,2024-10-28,122
시화전,2024-10-28,2024-11-09,104
역사 내 칭찬감사캠페인,2024-10-28,2024-10-28,120
초록펜 특기적성 전시회,2024-10-29,2024-11-06,111
소비자정보전시회,2024-11-02,2024-11-08,116
장애인식개선 캠페인,2024-11-04,2024-11-08,116
자원봉사활동 그림전 ,2024-11-04,2024-11-18,122
「2024년 온라인 그림그리기 대회」수상작 순회전시  ,2024-11-08,2024-11-14,107
정신질환 인식개선 캠페인,2024-11-11,2024-11-15,104
불조심 강조의 달 맞이 화재예방 전시회,2024-11-12,2024-11-15,116
「2024년 온라인 그림그리기 대회」수상작 순회전시 ,2024-11-15,2024-11-21,111
전국댄스페스티벌(ESG경영팀),2024-11-16,2024-11-16,107
장애인식개선 사진전,2024-11-18,2024-11-29,116
나愛수묵화,2024-11-18,2024-11-27,104
에코천사봉사단 환경캠페인(재생화장지 나눔),2024-11-18,2024-11-19,101
화재 예방 캠페인 및 사진전시회,2024-11-20,2024-11-22,113
CPR체험센터 관련 조사,2024-11-22,2024-11-22,120
제2의 포특사 작품전,2024-11-25,2024-11-29,111
트리설치,2024-11-29,2025-01-09,111
노은역 트리설치,2024-12-01,2025-01-07,120
구세군 불우 이웃돕기 자선냄비 설치,2024-12-01,2024-12-24,111
"굿모닝충청, SAFE 대전 안전생활 그림공모전",2024-12-02,2024-12-16,107
이동노동자사진전,2024-12-02,2024-12-06,111
세빛사진 동호회,2024-12-02,2024-12-13,104
희망2025나눔캠페인 소형온도탑 전시,2024-12-02,2025-01-31,116
"굿모닝충청, SAFE 대전 안전생활 그림공모전",2024-12-02,2024-12-16,107
성탄트리장식,2024-12-05,2025-01-08,117
성탄트리장식,2024-12-05,2025-01-08,118
밀알복지재단 발달장애인 작품전시회,2024-12-09,2024-12-17,112
소방현장 활동사진 전시회,2024-12-10,2024-12-13,111
2024 시 확산 시민운동 순회전시,2024-12-13,2024-12-20,110
대전대 웹툰 애니매이션학과 작품전시,2024-12-16,2024-12-29,104
2024년 밀알복지관 평생교육 프로그램 성과발표회 ,2024-12-16,2024-12-20,103
"굿모닝충청, SAFE 대전 안전생활 그림공모전",2024-12-17,2024-12-23,107
밀알복지재단 발달장애인 작품전시회,2024-12-18,2024-12-27,105
