holiday,weekend,mon,tue,wed,thur,fri,sat,sun,temperature,rain,humidity
0,0,0,0,1,0,0,0,0,6.3,0.0,50.5
0,0,0,0,0,1,0,0,0,5.1,0.2,66.4
1,0,0,0,0,0,1,0,0,-2.2,0.0,37.6
1,1,0,0,0,0,0,1,0,-0.9,0.0,52.1
1,1,0,0,0,0,0,0,1,5.3,1.2,72.4
0,0,1,0,0,0,0,0,0,6.7,0.0,59.4
0,0,0,1,0,0,0,0,0,5.9,2.5,81.1
0,0,0,0,1,0,0,0,0,7.0,0.0,62.1
0,0,0,0,0,1,0,0,0,4.6,0.0,51.3
0,0,0,0,0,0,1,0,0,2.9,0.0,44.5
1,1,0,0,0,0,0,1,0,2.3,0.0,43.9
1,1,0,0,0,0,0,0,1,4.6,0.0,43.3
0,0,1,0,0,0,0,0,0,6.4,0.0,56.4
0,0,0,1,0,0,0,0,0,5.6,2.0,76.6
0,0,0,0,1,0,0,0,0,6.6,0.0,54.8
0,0,0,0,0,1,0,0,0,8.4,0.0,56.0
0,0,0,0,0,0,1,0,0,9.5,0.0,48.1
1,1,0,0,0,0,0,1,0,11.4,0.0,41.8
1,1,0,0,0,0,0,0,1,9.7,0.0,51.8
0,0,1,0,0,0,0,0,0,7.9,0.0,34.6
0,0,0,1,0,0,0,0,0,7.2,0.0,53.0
0,0,0,0,1,0,0,0,0,4.6,0.0,43.1
0,0,0,0,0,1,0,0,0,5.2,0.0,48.3
0,0,0,0,0,0,1,0,0,10.1,4.1,58.1
1,1,0,0,0,0,0,1,0,14.9,0.3,53.9
1,1,0,0,0,0,0,0,1,14.1,0.0,47.8
0,0,1,0,0,0,0,0,0,9.4,6.8,72.1
0,0,0,1,0,0,0,0,0,6.7,19.5,80.5
0,0,0,0,1,0,0,0,0,10.2,0.0,65.8
0,0,0,0,0,1,0,0,0,9.0,21.3,90.9
0,0,0,0,0,0,1,0,0,9.3,0.2,77.6
1,1,0,0,0,0,0,1,0,10.0,0.0,66.1
1,1,0,0,0,0,0,0,1,10.9,0.0,44.9
0,0,1,0,0,0,0,0,0,13.1,0.0,41.0
0,0,0,1,0,0,0,0,0,16.1,0.0,46.5
0,0,0,0,1,0,0,0,0,13.2,16.0,92.4
